"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","test"
"SEFA.4345",396.673678369335,0.532117662283673,0.116030731166589,4.58600628414291,4.5180500748481e-06,0.000675103889150184,"acclim"
"SEFA.4365",360.632981932969,0.998085474447296,0.190394149520191,5.24220663797997,1.58667534018452e-07,9.25126435191536e-05,"acclim"
"SEFA.4522",263.609111315822,-1.6434374943833,0.472743333244348,-3.47638428469144,0.000508223491577879,0.0123770671319077,"acclim"
"SEFA.4555",467.075180862377,-1.84446887425538,0.508977675276332,-3.62386989420309,0.00029022764061247,0.00870288054299162,"acclim"
"SEFA.4702",24.6771559186969,0.617159394758508,0.165929416009541,3.71940918976669,0.000199689324523803,0.00694461966470157,"acclim"
"SEFA.4793",37.0040995807521,-0.750458509000476,0.210182922652171,-3.57050182541424,0.000356297971172749,0.0100195308257064,"acclim"
"SEFA.4808",118.733787086413,1.32299689118027,0.358125950473762,3.69422235230395,0.000220560741384809,0.00732377964613362,"acclim"
"SEFA.4810.1",7.50992870196279,0.820850972843608,0.25670224418225,3.1976774315258,0.00138539153790053,0.0228505365727429,"acclim"
"SEFA.4844",9280.5338134846,0.541895916699271,0.19073907744928,2.84103249290051,0.0044967730417575,0.0470546601022363,"acclim"
"SEFA.4845",4648.39509251587,0.550407914568048,0.182455846860141,3.01666361500575,0.00255573251214188,0.0337801166822231,"acclim"
"SEFA.4859",83.8274518692276,0.667140192536791,0.209132778471028,3.19003169859006,0.0014225718936729,0.0231177766168117,"acclim"
"SEFA.4860",83.2917242518895,0.663376216623934,0.209150396143925,3.17176648409233,0.00151514785941937,0.0239497984175009,"acclim"
"SEFA.4972",452.291496189956,-1.29766400467604,0.448533122003685,-2.89312860303187,0.00381425087526443,0.0424040803484631,"acclim"
"SEFA.5115",29.7265897892538,-0.804367897368672,0.272579843034794,-2.95094416525142,0.00316804180187345,0.0379992605786617,"acclim"
"SEFA.5174",24.7770656882947,-0.850072254966829,0.217006902830233,-3.91725905434377,8.95614890822926e-05,0.00429116352037767,"acclim"
"SEFA.5182.1",17.1130415429461,2.20353982314988,0.541457767036289,4.069643021673,4.70852277499341e-05,0.00293563523752002,"acclim"
"SEFA.5216",7.57412370219547,0.613933290008927,0.174696626751182,3.51428245310851,0.000440943681774278,0.0112351430593122,"acclim"
"SEFA.5217",8.04916659253067,-0.731869787948852,0.167691921527716,-4.36437117114129,1.27488954417342e-05,0.00125228596812205,"acclim"
"SEFA.5230",64.7773441288401,-0.517044828810933,0.101079710287965,-5.11521874506692,3.13377574252923e-07,0.000138136834730688,"acclim"
"SEFA.5245.1",2.10249175158524,1.33983009401788,0.372747943624201,3.59446676215248,0.000325056637087912,0.00942127347104525,"acclim"
"SEFA.5303",49.3299088620658,1.02249225317795,0.353470275530936,2.89272485965645,0.00381915695710633,0.0424172559014676,"acclim"
"SEFA.5403",5.80453111694869,-0.825889134247065,0.253963708687743,-3.25199666721879,0.00114597365566944,0.0203408805145487,"acclim"
"SEFA.5485",14.6597600507658,0.707296936316712,0.190935413616769,3.70437795126024,0.00021191010572713,0.0071750799703255,"acclim"
"SEFA.5492.1",13.7799889973025,0.576215295385345,0.162439746163641,3.54725557626068,0.000389266767847354,0.0105919006955008,"acclim"
"SEFA.5499.1",49.1965010097682,1.5552254035389,0.466628349447189,3.33289952353166,0.000859459745785638,0.0168971872443567,"acclim"
"SEFA.5510.1",15.1817123598387,0.682134837622549,0.167514979103697,4.07208263566858,4.65946416442789e-05,0.00292368940025596,"acclim"
"SEFA.5569",46.351418027261,0.684480376590147,0.145320694985998,4.71013696057605,2.47550381457177e-06,0.000464341311260952,"acclim"
"SEFA.5760",3.14721575656016,1.48228445266923,0.49276518141708,3.00809494779342,0.00262890989259673,0.0342777656000192,"acclim"
"SEFA.5770.1",6.76113986465253,1.07091871029857,0.337299339251649,3.17498016057362,0.00149846746052686,0.0237812585634649,"acclim"
"SEFA.5857",454.453662466304,0.520342857377342,0.164602969446939,3.16119969843604,0.001571207379803,0.0244730817320553,"acclim"
"SEFA.5870",156.676191155275,-0.61384935077787,0.210793732736336,-2.91208539651263,0.00359024466734546,0.0409199702486329,"acclim"
"SEFA.5943",2804.59346428517,0.503289588116777,0.114927663403513,4.3791857696586,1.19123553775553e-05,0.00121409624287315,"acclim"
"SEFA.5953",48.4440946077002,-1.36258587815703,0.379484100697999,-3.59062705301954,0.000329883376723273,0.00951128711655452,"acclim"
"SEFA.6035",5.17204492523897,-0.662663188650735,0.20335607378297,-3.25863484833974,0.0011194965822638,0.0200436115132633,"acclim"
"SEFA.6040.1",9.38620730010053,-0.652772538398876,0.168080045571891,-3.8837003891677,0.000102878667944458,0.00463209622574362,"acclim"
"SEFA.6180",71.471201194104,0.918729270556107,0.209430563335822,4.3867965397339,1.15032299474067e-05,0.00118611082124371,"acclim"
"SEFA.6250.1",1522.86994505193,0.940920016193124,0.246171923125975,3.82220687170576,0.000132262657021042,0.00542338411301167,"acclim"
"SEFA.6263",14.3069586847221,0.60145838065814,0.176825918364572,3.40141528018578,0.000670379040056965,0.0146651653030824,"acclim"
"SEFA.6541",8.63184263289373,-0.526750384831831,0.162000378935148,-3.25153797969015,0.00114782439015791,0.0203408805145487,"acclim"
"SEFA.6553",5.75682751907795,1.20815425659396,0.28368718513255,4.25875513562398,2.05568500592229e-05,0.00172185649030201,"acclim"
"SEFA.6629",3.75499067685262,0.712505791845474,0.229954256399227,3.09846750828775,0.00194524299036851,0.0282228107005837,"acclim"
"SEFA.6678",73.7726988600794,0.897225443335507,0.259563788442232,3.4566664661515,0.000546901300282999,0.0129342595947436,"acclim"
"SEFA.6696",24.8244168417861,0.596238935037222,0.207577886018018,2.8723624971567,0.00407415334616728,0.0441521031343709,"acclim"
"SEFA.6713",23.2740920628609,-1.48442482293966,0.449009763541851,-3.30599675880167,0.000946391824230279,0.0178659321679104,"acclim"
